"","YEAR","STATION_ID","LATITUDE","LONGITUDE","temp_occ"
"1",1980,"A-03",55,-166.33667,4
"2",1980,"C-06",55.668915,-164.576,3
"3",1980,"D-04",56.00758,-165.764585,3.5
"4",1980,"D-06",56.02825,-164.5385,2.2
"5",1980,"E-01",56.332835,-167.680165,3.5
"6",1980,"E-03",56.332585,-166.429,6.5
"7",1980,"E-05",56.32658,-165.199085,1.9
"8",1980,"E-06",56.33675,-164.50175,1.4
"9",1980,"E-07",56.342415,-164.01842,1.9
"10",1980,"E-18",56.3345,-168.24458,3.7
"11",1980,"E-19",56.347835,-168.8255,3.6
"12",1980,"F-01",56.665665,-167.64167,3.4
"13",1980,"F-02",56.683585,-167.062915,2.7
"14",1980,"F-03",56.67725,-166.439585,2
"15",1980,"F-04",56.6455,-165.819415,2.2
"16",1980,"F-05",56.675,-165.2125,1.8
"17",1980,"F-18",56.672085,-168.2575,3.5
"18",1980,"F-19",56.67192,-168.872835,3.5
"19",1980,"F-23",56.68058,-171.3585,3.8
"20",1980,"G-01",57,-167.7305,2.7
"21",1980,"G-02",57.025665,-167.07425,6
"22",1980,"G-03",56.998835,-166.474335,2.6
"23",1980,"G-05",57.0115,-165.21833,2
"24",1980,"G-18",56.993835,-168.364835,3.1
"25",1980,"G-19",56.99667,-168.978165,3.3
"26",1980,"G-20",56.994085,-169.558835,4.5
"27",1980,"G-21",56.996085,-170.190665,4.5
"28",1980,"G-22",56.998415,-170.767915,4
"29",1980,"G-23",57.006335,-171.399165,5
"30",1980,"H-02",57.352915,-167.11867,3.6
"31",1980,"H-04",57.31325,-165.86992,0.4
"32",1980,"H-05",57.339665,-165.248665,1
"33",1980,"H-06",57.304835,-164.569085,2.3
"34",1980,"H-07",57.339585,-164.007665,1.5
"35",1980,"H-08",57.346585,-163.370335,2.4
"36",1980,"H-09",57.3225,-162.77625,2
"37",1980,"H-18",57.335165,-168.338835,3.4
"38",1980,"H-19",57.33583,-168.941165,3.4
"39",1980,"H-20",57.3415,-169.616835,2.9
"40",1980,"H-21",57.334,-170.212665,5.1
"41",1980,"H-22",57.333165,-170.849835,3.7
"42",1980,"H-23",57.33617,-171.468085,3.1
"43",1980,"H-24",57.351165,-172.083,3.4
"44",1980,"H-25",57.319085,-172.705585,3.3
"45",1980,"I-02",57.682335,-167.138415,1.4
"46",1980,"I-03",57.67183,-166.498165,0.5
"47",1980,"I-04",57.632835,-165.85058,2.3
"48",1980,"I-06",57.645835,-164.620835,0.8
"49",1980,"I-07",57.665,-163.99,1.3
"50",1980,"I-08",57.67783,-163.347835,1.1
"51",1980,"I-18",57.676415,-168.42225,3.3
"52",1980,"I-19",57.677585,-169.0155,3.3
"53",1980,"I-21",57.6745,-170.24625,2.1
"54",1980,"I-22",57.662915,-170.8935,3
"55",1980,"I-23",57.66625,-171.544835,3.1
"56",1980,"I-24",57.678335,-172.16975,3.2
"57",1980,"J-02",58.01667,-167.16233,1.5
"58",1980,"J-03",58.0005,-166.51575,0.1
"59",1980,"J-04",58.0105,-165.98,0.3
"60",1980,"J-06",58.075335,-164.798335,1.1
"61",1980,"J-07",58.009,-164.010335,1.5
"62",1980,"J-20",57.99617,-169.726415,2.7
"63",1980,"J-21",58.00208,-170.363665,1.7
"64",1980,"J-22",58.0045,-170.991085,2.2
"65",1980,"J-23",58.014,-171.611665,2.7
"66",1980,"J-24",58.010915,-172.225,2.9
"67",1980,"K-02",58.34583,-167.201415,1.5
"68",1980,"K-03",58.34467,-166.56358,1
"69",1980,"K-04",58.340415,-165.95658,0.4
"70",1980,"K-05",58.325,-165.288335,4
"71",1980,"K-06",58.335335,-164.609585,1
"72",1980,"K-18",58.318335,-168.475585,1.2
"73",1980,"K-19",58.3465,-169.129665,1.8
"74",1980,"K-20",58.324665,-169.71633,2.8
"75",1980,"K-22",58.32875,-170.986835,1.3
"76",1980,"K-23",58.324915,-171.62025,1.8
"77",1980,"K-25",58.319835,-172.9395,2.3
"78",1980,"K-26",58.345,-173.582335,3
"79",1980,"K-27",58.32833,-174.23667,3.5
"80",1980,"L-19",58.672585,-169.17442,1.1
"81",1980,"L-20",58.664165,-169.80783,1
"82",1980,"L-21",58.66542,-170.45925,1.8
"83",1980,"L-22",58.66667,-171.106915,0.8
"84",1980,"L-25",58.65375,-173.016,1.8
"85",1980,"L-26",58.67242,-173.608415,1.8
"86",1980,"L-27",58.668,-174.25733,2.9
"87",1980,"M-18",58.983665,-168.54683,2.2
"88",1980,"M-19",59.007165,-169.156585,1.3
"89",1980,"M-20",59.0015,-169.8055,1.1
"90",1980,"M-21",58.997165,-170.455,2
"91",1980,"M-22",58.99825,-171.110335,0.2
"92",1980,"M-23",59.010585,-171.76792,0.8
"93",1980,"M-24",59.002,-172.45883,0.4
"94",1980,"M-25",58.99275,-173.10675,1.6
"95",1980,"M-26",58.984335,-173.711,2.6
"96",1980,"M-27",59.003915,-174.383415,2.4
"97",1980,"M-28",59.004665,-175.0625,3.1
"98",1980,"M-29",59.00092,-175.738835,2.6
"99",1980,"M-32",58.99625,-177.5885,3
"100",1980,"N-23",59.3455,-171.828835,1.6
"101",1980,"N-24",59.327335,-172.476,-0.3
"102",1980,"N-25",59.3305,-173.12325,0.8
"103",1980,"N-26",59.34017,-173.76975,0.8
"104",1980,"N-27",59.335665,-174.45142,2
"105",1980,"N-28",59.33242,-175.104165,2.4
"106",1980,"N-29",59.33,-175.761665,1.5
"107",1980,"O-23",59.67883,-171.90625,-0.3
"108",1980,"O-24",59.66717,-172.59425,-0.8
"109",1980,"O-25",59.66658,-173.25825,0.4
"110",1980,"O-26",59.654165,-173.85425,1.6
"111",1980,"O-28",59.667,-175.09183,2.6
"112",1980,"O-29",59.664585,-175.88725,1.6
"113",1980,"P-19",60.00375,-169.289835,1
"114",1980,"P-21",60.000165,-170.596165,0.5
"115",1980,"P-22",60.00633,-171.273915,-0.9
